"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","499","12.5"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","188","42.5"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","770","11.9"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","316,452","43.6"
"CENSUS","2019","END OF DEC","","STATE","ILLINOIS","17","","","","","","","00000000","","SHEEP","SHEEP, INCL LAMBS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7,646","12.5"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","815","42.5"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,623","11.9"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","629,500","23.9"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","808,133","43.6"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","HOGS","HOGS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","INDIANA","18","","","","","","","00000000","","SHEEP","SHEEP, INCL LAMBS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3,409","12.5"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","471","42.5"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5,078","11.9"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","GOATS","GOATS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","HOGS","HOGS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,060","79.9"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","SHEEP","SHEEP, INCL LAMBS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","529","64.0"
"CENSUS","2019","END OF DEC","","STATE","MICHIGAN","26","","","","","","","00000000","","TURKEYS","TURKEYS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","806","12.5"
"CENSUS","2019","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,278","11.9"
"CENSUS","2019","END OF DEC","","STATE","MISSOURI","29","","","","","","","00000000","","CHICKENS","CHICKENS, LAYERS, ORGANIC - INVENTORY","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,885,643","43.6"
"CENSUS","2019","JAN THRU JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","FOOD FISH","FOOD FISH, CATFISH, HYBRID, WATER, IN PRODUCTION - ACRES OF WATER","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2019","JAN THRU JUN","","STATE","ILLINOIS","17","","","","","","","00000000","","FOOD FISH","FOOD FISH, CATFISH, HYBRID, WATER, IN PRODUCTION - OPERATIONS WITH AREA OF WATER","TOTAL","NOT SPECIFIED","2","47.4"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","ANIMAL TOTALS","ANIMAL TOTALS, ANIMALS ONLY, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","36","6.1"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","ANIMAL TOTALS","ANIMAL TOTALS, ANIMALS ONLY, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3,549,000","27.6"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","ANIMAL TOTALS","ANIMAL TOTALS, PRODUCTS ONLY, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31","4.1"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","ANIMAL TOTALS","ANIMAL TOTALS, PRODUCTS ONLY, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","15,983,000","34.4"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - INVENTORY, PEAK, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","696","12.2"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - OPERATIONS WITH INVENTORY, PEAK","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","20","7.6"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","14","8.6"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","261,385","14.2"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, (EXCL COWS), ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","404","12.4"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - INVENTORY, PEAK, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","194","41.1"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - OPERATIONS WITH INVENTORY, PEAK","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","7","35.5"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","32.8"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","29,652","36.9"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, BEEF, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","37","35.2"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - INVENTORY, PEAK, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","868","11.1"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - OPERATIONS WITH INVENTORY, PEAK","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","13","6.2"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","8.7"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","112,799","10.2"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, ORGANIC - SALES, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","154","11.2"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - INVENTORY, PEAK, MEASURED IN HEAD","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - OPERATIONS WITH INVENTORY, PEAK","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","25.4"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CHICKENS","CHICKENS, BROILERS, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","25.4"
