"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2020","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL) - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","5,876","27.8"
"CENSUS","2020","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), FEMALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","2,577","29.2"
"CENSUS","2020","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), MALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","3,299","27.4"
"CENSUS","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL) - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","5,353","34.2"
"CENSUS","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), FEMALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","2,384","39.1"
"CENSUS","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), MALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","2,969","32.5"
"CENSUS","2020","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL) - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","12,179","19.1"
"CENSUS","2020","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), FEMALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","4,948","20.0"
"CENSUS","2020","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), MALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","7,231","18.9"
"CENSUS","2020","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL) - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","10,461","14.8"
"CENSUS","2020","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), FEMALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","4,568","17.2"
"CENSUS","2020","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","PRODUCERS","PRODUCERS, (ALL), MALE - NUMBER OF PRODUCERS","COMMODITIES (INCL VALUE-ADDED)","COMMODITIES (INCL VALUE-ADDED): (DIRECTLY MARKETED FOR HUMAN CONSUMPTION)","5,893","14.1"
